iter	Logloss
0	0.6895321369
1	0.6859703117
2	0.6826215961
3	0.6792760477
4	0.6759994528
5	0.6728309321
6	0.6696414814
7	0.6665966146
8	0.663539207
9	0.6605563598
10	0.6577082095
11	0.6549124912
12	0.6522316953
13	0.649426475
14	0.6468824732
15	0.6440669377
16	0.6413671807
17	0.6387728013
18	0.6361460639
19	0.633637031
20	0.6312147143
21	0.6288581409
22	0.6264701512
23	0.6244137886
24	0.6221369975
25	0.6198513892
26	0.6175571779
27	0.6153589706
28	0.6132168335
29	0.611088607
30	0.6089326021
31	0.6068856559
32	0.6048007018
33	0.6026873702
34	0.6007104475
35	0.5987216687
36	0.596796964
37	0.5950093958
38	0.5931471815
39	0.591268617
40	0.5894297296
41	0.5876808113
42	0.5858696166
43	0.5841159473
44	0.5825286908
45	0.5808598544
46	0.579150656
47	0.5776894076
48	0.5760216412
49	0.5743921823
50	0.5727936262
51	0.5713356307
52	0.569810351
53	0.5683334372
54	0.566955224
55	0.5654872985
56	0.5639794391
57	0.5625032529
58	0.5610113585
59	0.5596917836
60	0.5582882318
61	0.5569175517
62	0.5555307782
63	0.5541897168
64	0.5528455737
65	0.5515941818
66	0.5503448016
67	0.54916476
68	0.5479342125
69	0.5467094432
70	0.5455109113
71	0.5444132202
72	0.5432588596
73	0.5421397676
74	0.5409631502
75	0.5397849063
76	0.5386400477
77	0.5375958586
78	0.5364498443
79	0.5353016044
80	0.5342383258
81	0.5332168215
82	0.532203364
83	0.531271144
84	0.5302489122
85	0.5292999995
86	0.5283350363
87	0.5274350031
88	0.5265671568
89	0.5256372481
90	0.5247070826
91	0.5237126718
92	0.5227792962
93	0.5218769518
94	0.5210451016
95	0.520231485
96	0.519395312
97	0.5185225435
98	0.5177270748
99	0.516935073
