iter	Passed	Remaining
0	8	800
1	16	831
2	26	850
3	36	867
4	44	844
5	54	855
6	63	846
7	73	846
8	83	842
9	92	830
10	101	824
11	111	815
12	120	807
13	130	802
14	140	796
15	150	789
16	159	778
17	169	771
18	177	757
19	187	748
20	195	736
21	204	726
22	215	721
23	224	710
24	235	706
25	245	700
26	256	693
27	267	687
28	277	679
29	287	670
30	298	663
31	307	654
32	319	648
33	330	641
34	342	635
35	353	628
36	363	618
37	371	606
38	381	596
39	390	585
40	399	574
41	409	565
42	418	554
43	428	545
44	435	532
45	444	522
46	453	511
47	460	499
48	471	490
49	480	480
50	490	471
51	499	460
52	508	450
53	517	440
54	525	430
55	535	420
56	544	410
57	553	400
58	563	391
59	572	381
60	581	371
61	590	361
62	600	352
63	610	343
64	619	333
65	629	324
66	638	314
67	647	304
68	657	295
69	666	285
70	674	275
71	684	266
72	693	256
73	702	246
74	713	237
75	722	228
76	732	218
77	741	209
78	753	200
79	764	191
80	773	181
81	784	172
82	795	162
83	804	153
84	815	143
85	825	134
86	836	124
87	846	115
88	856	105
89	866	96
90	877	86
91	888	77
92	898	67
93	909	58
94	918	48
95	929	38
96	941	29
97	953	19
98	964	9
99	975	0
